year,area,catch,source-notes
1987,Upr_Bella_Coola_Atnarko,376,RMS- 1988 summary table says 7632
1987,FFH-8-3,2100,RMS- 1988 summary table says 7632
1987,8-4&8-5,0,RMS- 1988 summary table says 7632
1987,BCGNA,432,RMS- 1988 summary table says 7632
1987,DCGNA,46,RMS
1988,Lwr_Bella_Coola,6343,"RMS- but found summary table in 1988 RMS that reported 12,840"
1988,Upr_Bella_Coola_Atnarko,536,"RMS- but found summary table in 1988 RMS that reported 12,840"
1988,FFH-8-3,4746,"RMS- but found summary table in 1988 RMS that reported 12,840"
1988,8-4&8-5,296,"RMS- but found summary table in 1988 RMS that reported 12,840"
1988,BCGNA,319,"RMS- but found summary table in 1988 RMS that reported 12,840"
1988,DCGNA,0,RMS
1989,Lwr_Bella_Coola,5266,RMS
1989,Upr_Bella_Coola_Atnarko,443,RMS
1989,FFH-8-3,1606,RMS
1989,8-4&8-5,0,RMS
1989,BCGNA,0,RMS
1989,DCGNA,0,RMS
1990,Lwr_Bella_Coola,3579,RMS
1990,Upr_Bella_Coola_Atnarko,355,RMS
1990,FFH-8-3,2039,RMS
1990,8-4&8-5,0,RMS
1990,BCGNA,277,RMS
1990,DCGNA,0,RMS
1991,Lwr_Bella_Coola,8851,RMS
1991,Upr_Bella_Coola_Atnarko,11,RMS
1991,FFH-8-3,3392,RMS
1991,8-4&8-5,3732,RMS
1991,BCGNA,622,RMS
1991,DCGNA,0,RMS
1992,Lwr_Bella_Coola,7216,RMS
1992,Upr_Bella_Coola_Atnarko,174,RMS
1992,FFH-8-3,1461,RMS
1992,8-4&8-5,339,RMS
1992,BCGNA,0,RMS
1992,DCGNA,0,RMS
1993,Lwr_Bella_Coola,4287,RMS
1993,Upr_Bella_Coola_Atnarko,305,RMS
1993,FFH-8-3,3306,"RMS; This includes 100 catch from salmon seine in 8-2 and 8-3. For GN listed as 8-1, FFH, and Koeye/Namu."
1993,8-4&8-5,683,RMS
1993,BCGNA,130,RMS
1993,DCGNA,0,RMS
1994,Lwr_Bella_Coola,600,RMS; poor monitoring coverage so likely underestimate
1994,Upr_Bella_Coola_Atnarko,22,RMS; poor monitoring coverage so likely underestimate
1994,FFH-8-3,2518,RMS; poor monitoring coverage so likely underestimate
1994,8-4&8-5,225,RMS
1994,BCGNA,0,RMS
1994,DCGNA,0,RMS
1995,Lwr_Bella_Coola,4923,RMS; poor monitoring coverage so likely underestimate
1995,Upr_Bella_Coola_Atnarko,91,RMS; poor monitoring coverage so likely underestimate
1995,FFH-8-3,3274,RMS; poor monitoring coverage so likely underestimate
1995,8-4&8-5,269,RMS
1995,BCGNA,0,RMS
1995,DCGNA,0,RMS
1996,Lwr_Bella_Coola,2866,RMS
1996,Upr_Bella_Coola_Atnarko,92,RMS
1996,FFH-8-3,6277,RMS: RMS had mistakes of Area vs. location.  Made some assumptions…Seahawk was assumed lower 8-4 near Tomohawk Island and Kwakume is 8-16/8-3 border so recorded as 8-3.
1996,8-4&8-5,102,RMS
1996,BCGNA,0,RMS
1996,DCGNA,0,RMS
1997,Lwr_Bella_Coola,2803,"RMS- note that recorded as Lower Fischer Channel and Fitzhugh Sound (includes Namu and Koeye), and Upper Fischer Channel"
1997,Upr_Bella_Coola_Atnarko,498,"RMS- note that recorded as Lower Fischer Channel and Fitzhugh Sound (includes Namu and Koeye), and Upper Fischer Channel"
1997,FFH-8-3,19972,"RMS- note that recorded as Lower Fischer Channel and Fitzhugh Sound (includes Namu and Koeye), and Upper Fischer Channel"
1997,8-4&8-5,19,"RMS- note that recorded as Lower Fischer Channel and Fitzhugh Sound (includes Namu and Koeye), and Upper Fischer Channel"
1997,BCGNA,0,"RMS- note that recorded as Lower Fischer Channel and Fitzhugh Sound (includes Namu and Koeye), and Upper Fischer Channel"
1997,DCGNA,0,RMS
1998,Lwr_Bella_Coola,1719,"RMS // Regional Data Unit-- 4,199 Bella Coola Area but no breakdown of the catch."
1998,Upr_Bella_Coola_Atnarko,320,"RMS // Regional Data Unit-- 4,199 Bella Coola Area but no breakdown of the catch."
1998,FFH-8-3,1753,"RMS // Regional Data Unit-- 4,199 Bella Coola Area but no breakdown of the catch."
1998,8-4&8-5,156,"RMS // Regional Data Unit-- 4,199 Bella Coola Area but no breakdown of the catch; NO data reported at production of RMS document.  This number is from a the 3rd quarter 1998 Heiltsuk Fisheries AFS reporting.  The FSC catch data was listed by subarea and location.  The locations and subareas didn't always match up.  The location was assumed to trump the subarea.  There was a catch for 150 listed as Area 8- assumed Fisher Channel."
1998,BCGNA,0,"RMS // Regional Data Unit-- 4,199 Bella Coola Area but no breakdown of the catch."
1998,DCGNA,0,RMS
1999,Lwr_Bella_Coola,825,RMS- note 8-3 Koeye/Namu and 8-4 N Walker were from RMS Food Fish Hails.
1999,Upr_Bella_Coola_Atnarko,246,RMS- note 8-3 Koeye/Namu and 8-4 N Walker were from RMS Food Fish Hails.
1999,FFH-8-3,857,RMS- note 8-3 Koeye/Namu and 8-4 N Walker were from RMS Food Fish Hails.
1999,8-4&8-5,34,RMS- note 8-3 Koeye/Namu and 8-4 N Walker were from RMS Food Fish Hails.
1999,BCGNA,0,RMS- note 8-3 Koeye/Namu and 8-4 N Walker were from RMS Food Fish Hails.
1999,DCGNA,0,RMS
2000,Lwr_Bella_Coola,866,RMS
2000,Upr_Bella_Coola_Atnarko,903,RMS
2000,FFH-8-3,2379,RMS
2000,8-4&8-5,134,RMS
2000,BCGNA,0,RMS
2000,DCGNA,0,2001 A8 RMS
2001,Lwr_Bella_Coola,912,2001 A8 RMS
2001,Upr_Bella_Coola_Atnarko,525,2001 A8 RMS
2001,FFH-8-3,1666,2001 A8 RMS
2001,8-4&8-5,1374,2001 A8 RMS
2001,BCGNA,0,2001 A8 RMS
2001,DCGNA,0,2001 A8 RMS
2002,Lwr_Bella_Coola,847,2002 A8 RMS
2002,Upr_Bella_Coola_Atnarko,758,2002 A8 RMS
2002,FFH-8-3,2233,2002 A8 RMS
2002,8-4&8-5,528,2002 A8 RMS
2002,BCGNA,0,2002 A8 RMS
2002,DCGNA,0,2002 A8 RMS
2003,Lwr_Bella_Coola,722,2003 A8 RMS
2003,Upr_Bella_Coola_Atnarko,1045,2003 A8 RMS
2003,FFH-8-3,2021,2003 A8 RMS
2003,8-4&8-5,112,2003 A8 RMS
2003,BCGNA,0,2003 A8 RMS
2003,DCGNA,0,2003 A8 RMS
2004,Lwr_Bella_Coola,395,2004 PSR
2004,Upr_Bella_Coola_Atnarko,139,2004 PSR
2004,FFH-8-3,2826,2004 PSR
2004,8-4&8-5,384,2004 PSR
2004,BCGNA,266,2004 PSR
2004,DCGNA,0,2004 PSR
2005,Lwr_Bella_Coola,180,2005 PSR
2005,Upr_Bella_Coola_Atnarko,255,2005 PSR
2005,FFH-8-3,591,2005 PSR
2005,8-4&8-5,158,2005 PSR
2005,BCGNA,0,2005 PSR
2005,DCGNA,0,2005 PSR
2006,Lwr_Bella_Coola,102,2006 PSR
2006,Upr_Bella_Coola_Atnarko,68,2006 PSR
2006,FFH-8-3,427,2006 PSR
2006,8-4&8-5,0,2006 PSR
2006,BCGNA,400,2006 PSR
2006,DCGNA,0,2006 PSR
2007,Lwr_Bella_Coola,125,Nuxalk FSC report
2007,Upr_Bella_Coola_Atnarko,120,Nuxalk FSC report
2007,FFH-8-3,261,2007 PSR 
2007,8-4&8-5,174,2007 PSR
2007,BCGNA,55,2007 PSR 
2007,DCGNA,0,2007 PSR 
2008,Lwr_Bella_Coola,45,2007 PSR 
2008,Upr_Bella_Coola_Atnarko,33,2008 PSR
2008,FFH-8-3,1167,2008 PSR
2008,8-4&8-5,414,2008 PSR
2008,BCGNA,108,2008 PSR
2008,DCGNA,0,2008 PSR
2009,Lwr_Bella_Coola,107,2009 PSR
2009,Upr_Bella_Coola_Atnarko,37,2009 PSR
2009,FFH-8-3,583,2009 PSR
2009,8-4&8-5,55,2009 PSR
2009,BCGNA,414,2009 PSR
2009,DCGNA,0,2009 PSR
2010,Lwr_Bella_Coola,131,2010 PSR
2010,Upr_Bella_Coola_Atnarko,30,2010 PSR
2010,FFH-8-3,31,2010 PSR
2010,8-4&8-5,0,2010 PSR
2010,BCGNA,0,2010 PSR
2010,DCGNA,0,2010 PSR
2011,Lwr_Bella_Coola,41,Nuxalk FSC report
2011,Upr_Bella_Coola_Atnarko,49,Nuxalk FSC report
2011,FFH-8-3,12,2011 PSR
2011,8-4&8-5,0,2011 PSR
2011,BCGNA,0,2011 PSR
2011,DCGNA,0,2011 PSR
2012,Lwr_Bella_Coola,60,2012 PSR
2012,Upr_Bella_Coola_Atnarko,31,2012 PSR
2012,FFH-8-3,266,2012 PSR
2012,8-4&8-5,1000,2012 PSR
2012,BCGNA,0,2012 PSR
2012,DCGNA,0,2012 PSR
2013,Lwr_Bella_Coola,21,2013 PSR
2013,Upr_Bella_Coola_Atnarko,18,2013 PSR
2013,FFH-8-3,0,2013 PSR
2013,8-4&8-5,385,2013 PSR
2013,BCGNA,0,2013 PSR
2013,DCGNA,0,2013 PSR
2014,Lwr_Bella_Coola,145,2014 PSR
2014,Upr_Bella_Coola_Atnarko,20,2014 PSR
2014,FFH-8-3,1082,2014 PSR
2014,8-4&8-5,0,2014 PSR
2014,BCGNA,0,2014 PSR
2014,DCGNA,0,2014 PSR
2015,Lwr_Bella_Coola,132,2015 PSR
2015,Upr_Bella_Coola_Atnarko,32,2015 PSR
2015,FFH-8-3,954,2015 PSR
2015,8-4&8-5,0,2015 PSR
2015,BCGNA,0,2015 PSR
2015,DCGNA,0,2015 PSR
2016,Lwr_Bella_Coola,65,2016 PSR
2016,Upr_Bella_Coola_Atnarko,37,2016 PSR
2016,FFH-8-3,251,2016 PSR
2016,8-4&8-5,75,2016 PSR
2016,BCGNA,0,2016 PSR
2016,DCGNA,0,2016 PSR
2017,Lwr_Bella_Coola,66,2017 PSR
2017,Upr_Bella_Coola_Atnarko,32,2017 PSR
2017,FFH-8-3,220,2017 PSR
2017,8-4&8-5,100,2017 PSR
2017,BCGNA,0,2017 PSR
2017,DCGNA,0,2017 PSR
