year,area,catch,source-notes
1976,Lwr_Bella_Coola,1750,Regional Data Unit- Laurie Biagini electronic search
1976,Upr_Bella_Coola_Atnarko,132,Regional Data Unit- Laurie Biagini electronic search
1976,BCGNA,208,Regional Data Unit- Laurie Biagini electronic search
1976,DCGNA,94,Regional Data Unit- Laurie Biagini electronic search
1977,Lwr_Bella_Coola,2499,Regional Data Unit- Laurie Biagini electronic search
1977,Upr_Bella_Coola_Atnarko,200,Regional Data Unit- Laurie Biagini electronic search
1977,FFH-8-3,3442,Regional Data Unit- Laurie Biagini electronic search
1977,8-4&8-5,0,Regional Data Unit- Laurie Biagini electronic search
1977,BCGNA,735,Regional Data Unit- Laurie Biagini electronic search
1977,DCGNA,0,Regional Data Unit- Laurie Biagini electronic search
1978,Lwr_Bella_Coola,3078,Regional Data Unit- Laurie Biagini electronic search
1978,Upr_Bella_Coola_Atnarko,19,Regional Data Unit- Laurie Biagini electronic search
1978,FFH-8-3,2000,Regional Data Unit- Laurie Biagini electronic search
1978,8-4&8-5,0,Regional Data Unit- Laurie Biagini electronic search
1978,BCGNA,1002,"Regional Data Unit- Laurie Biagini electronic search; listed as BCGNA/DC, assumed BCGNA"
1978,DCGNA,0,"Regional Data Unit- Laurie Biagini electronic search; catch was listed as BCGNA/DC, assumed BCGNA so 0 here"
1979,Lwr_Bella_Coola,2243,Regional Data Unit- Laurie Biagini electronic search
1979,Upr_Bella_Coola_Atnarko,22,Regional Data Unit- Laurie Biagini electronic search
1979,FFH-8-3,1958,Regional Data Unit- Laurie Biagini electronic search
1979,8-4&8-5,0,Regional Data Unit- Laurie Biagini electronic search
1979,BCGNA,268,"Regional Data Unit- Laurie Biagini electronic search; listed as BCGNA/DC, assumed BCGNA"
1979,DCGNA,0,"Regional Data Unit- Laurie Biagini electronic search; catch was listed as BCGNA/DC, assumed BCGNA so 0 here"
1980,Lwr_Bella_Coola,4162,Regional Data Unit- Laurie Biagini electronic search
1980,Upr_Bella_Coola_Atnarko,285,Regional Data Unit- Laurie Biagini electronic search
1980,FFH-8-3,1882,Regional Data Unit- Laurie Biagini electronic search
1980,8-4&8-5,0,Regional Data Unit- Laurie Biagini electronic search
1980,BCGNA,1000,"Regional Data Unit- Laurie Biagini electronic search; listed as BCGNA/DC, assumed BCGNA"
1980,DCGNA,0,"Regional Data Unit- Laurie Biagini electronic search; catch was listed as BCGNA/DC, assumed BCGNA so 0 here"
1981,Lwr_Bella_Coola,5068,PDF- Bella Coola Office (Kristen Smith)
1981,Upr_Bella_Coola_Atnarko,267,PDF- Bella Coola Office (Kristen Smith)
1981,FFH-8-3,NA,PDF- Bella Coola Office (Kristen Smith)
1981,8-4&8-5,0,PDF- Bella Coola Office (Kristen Smith)
1981,BCGNA,NA,missing data
1981,DCGNA,NA,missing data
1982,Lwr_Bella_Coola,2662,"Andrea Harvey Excel Sheet (Bella Coola Fish Mgm't Drive) Lw BC 2,662 // Regional Data Unit-- Bella Coola Area 5,489"
1982,Upr_Bella_Coola_Atnarko,NA,"Andrea Harvey Excel Sheet (Bella Coola Fish Mgm't Drive) Lw BC 2,662 // Regional Data Unit-- Bella Coola Area 5,489"
1982,FFH-8-3,NA,"Andrea Harvey Excel Sheet (Bella Coola Fish Mgm't Drive) Lw BC 2,662 // Regional Data Unit-- Bella Coola Area 5,489"
1982,8-4&8-5,0,"Andrea Harvey Excel Sheet (Bella Coola Fish Mgm't Drive) Lw BC 2,662 // Regional Data Unit-- Bella Coola Area 5,489"
1982,BCGNA,NA,missing data
1982,DCGNA,NA,missing data
1983,Lwr_Bella_Coola,3748,RMS- 1988 summary table says 6674
1983,Upr_Bella_Coola_Atnarko,272,RMS- 1988 summary table says 6674
1983,FFH-8-3,1333,RMS- 1988 summary table says 6674
1983,8-4&8-5,0,RMS- 1988 summary table says 6674
1983,BCGNA,1411,RMS- 1988 summary table says 6674
1983,DCGNA,0,RMS
1984,Lwr_Bella_Coola,5886,RMS- 1988 summary table agrees
1984,Upr_Bella_Coola_Atnarko,555,RMS- 1988 summary table agrees
1984,FFH-8-3,2176,RMS- 1988 summary table agrees
1984,8-4&8-5,0,RMS- 1988 summary table agrees
1984,BCGNA,363,RMS- 1988 summary table agrees
1984,DCGNA,0,RMS
1985,Lwr_Bella_Coola,6849,RMS- 1988 summary table says 10550
1985,Upr_Bella_Coola_Atnarko,572,RMS- 1988 summary table says 10550
1985,FFH-8-3,2629,RMS- 1988 summary table says 10550
1985,8-4&8-5,0,RMS- 1988 summary table says 10550
1985,BCGNA,439,RMS- 1988 summary table says 10550
1985,DCGNA,0,RMS
1986,Lwr_Bella_Coola,4216,RMS- 1988 summary table says 5930 and 1986 RMS has summary table with 5938
1986,Upr_Bella_Coola_Atnarko,567,RMS- 1988 summary table says 5930 and 1986 RMS has summary table with 5938
1986,FFH-8-3,1127,RMS- 1988 summary table says 5930 and 1986 RMS has summary table with 5938
1986,8-4&8-5,,RMS- 1988 summary table says 5930 and 1986 RMS has summary table with 5938
1986,BCGNA,0,RMS- 1988 summary table says 5930 and 1986 RMS has summary table with 5938
1986,DCGNA,0,RMS
1987,Lwr_Bella_Coola,4676,RMS- 1988 summary table says 7632
