"","year","summer_sst","winter_sst","npgo_index","pinks"
"1",1950,11.2220165252686,6.45405685901642,-0.766430566666667,101.1
"2",1951,12.026858329773,7.10475254058838,-0.961180175,252
"3",1952,12.0730213165283,6.9705935716629,-0.639424208333333,198
"4",1953,12.4077035903931,7.66811454296112,1.08228090833333,336.5
"5",1954,11.9178009033203,7.75899803638458,0.207065458333333,179.8
"6",1955,11.7426074981689,7.59389472007751,-0.0748983166666667,294.4
"7",1956,12.9654973983765,7.3779890537262,0.0699520166666667,260.8
"8",1957,13.5447269439697,7.14872872829437,-1.147306975,362
"9",1958,14.1760871887207,8.75142407417297,-0.547806975,187
"10",1959,12.5975318908691,8.14332163333893,-0.203461008333333,240
"11",1960,12.5080989837646,8.29488778114319,0.747739958333333,125.1
"12",1961,13.0251079559326,8.41201257705688,0.970684516666667,182.1
"13",1962,12.6899221420288,8.27112913131714,-0.093424125,162.9
"14",1963,13.5611095428467,8.89950823783875,-0.234721483333333,224.2
"15",1964,11.9264822006225,7.9996497631073,0.544102425,146.2
"16",1965,11.7697816848755,7.02404022216797,-0.837212741666667,205.1
"17",1966,12.3922782897949,7.56509459018707,-0.956356208333333,161.1
"18",1967,13.0514177322388,7.40496921539307,-0.699724808333333,175.2
"19",1968,12.5901586532593,7.40198969841004,-0.8506018,172
"20",1969,12.0739721298218,6.49270939826966,-0.387628575,220.8
"21",1970,11.6732780456543,7.97825849056244,0.06104315,132.2
"22",1971,11.7475439071655,6.79504776000976,0.381984241666667,202.8
"23",1972,12.1333360671997,6.69159471988678,-0.659303725,126.2
"24",1973,11.9408348083496,7.31850636005402,0.1265856,158.6
"25",1974,12.1474611282349,7.11305963993073,-0.00931023333333333,133.9
"26",1975,11.4963855743408,7.20860064029694,0.798500541666667,228.3
"27",1976,11.7163604736328,6.98706245422363,1.86321135,199
"28",1977,12.3249273300171,8.21508264541626,1.24927035,279.1
"29",1978,12.7580890655518,8.15448117256165,0.504466633333333,234.1
"30",1979,12.8321208953857,7.16879951953888,-0.737188616666667,319.9
"31",1980,12.2028182983399,7.99821054935455,-0.749107275,244.5
"32",1981,12.4413467407226,8.42702007293701,-0.221840575,297.9
"33",1982,11.9693017959595,7.51723206043243,-0.6866914,223.2
"34",1983,13.2535400390625,8.68062043190003,-0.0920647083333333,431
"35",1984,12.0289064407349,8.23152482509613,0.620750091666667,308.8
"36",1985,12.0104391098022,7.68064367771149,-0.39390105,326.3
"37",1986,12.3761295318604,7.9589329957962,-0.732847391666667,261.8
"38",1987,12.1096298217773,8.59126138687134,0.4291747,270.3
"39",1988,12.0246952056885,8.11893057823181,1.32363676666667,212.2
"40",1989,13.2524124145508,7.47494113445282,0.612240616666667,364.4
"41",1990,13.4700365066528,7.73638701438904,-0.201546158333333,303
"42",1991,12.4114189147949,7.72280895709991,-0.498914691666667,486
"43",1992,12.8929187774658,8.90489816665649,-1.09491886666667,277.2
"44",1993,13.3603200912475,8.05103921890259,-1.90199259166667,398.6
"45",1994,13.5351203918457,8.62210392951965,-1.21159878333333,453.7
"46",1995,13.5540851593018,8.28536152839661,-1.039208525,434.9
"47",1996,12.4458906173706,8.25146663188935,-0.972836608333333,424.3
"48",1997,13.8192825317383,7.90028047561646,-0.657690583333333,402
"49",1998,13.1407442092896,9.3040919303894,0.544553275,443.6
"50",1999,11.7740646362305,7.81173264980316,1.51578051666667,501.1
"51",2000,12.6205633163452,8.02729952335358,1.88586129166667,381.8
"52",2001,11.9272457122803,7.98623204231262,2.080693375,401.8
"53",2002,12.372741317749,7.53406584262848,1.47359396666667,382.9
"54",2003,13.3105361938476,8.81494283676147,0.958507175,466.3
"55",2004,13.8266172409058,8.24860560894012,0.209460258333333,361.3
"56",2005,13.6834802627564,8.34137094020844,-1.46910070833333,594.5
"57",2006,12.6833047866821,8.18426561355591,-0.549937125,347.5
"58",2007,12.5675157546997,7.59766244888306,0.579464683333333,550
"59",2008,11.4744422912598,7.01851761341095,1.49285563333333,331.7
"60",2009,12.1900382995605,6.85187077522278,0.640582358333333,657.6
"61",2010,12.2345876693726,8.34787249565125,1.28960191666667,410.3
"62",2011,12.7382385253906,7.68654251098633,0.789645091666667,654.8
"63",2012,12.258692741394,7.49071443080902,1.42274594166667,437.6
"64",2013,13.4632925033569,7.67442762851715,0.363238283333333,578.3
"65",2014,13.4585191726685,7.67301762104034,-0.19641635,359.3
"66",2015,13.9170991897583,9.45916414260865,-1.38072873333333,552.7
"67",2016,13.5982061386109,9.39138388633727,-0.16031905,432
"68",2017,13.2046756744385,8.28551387786865,-0.859133083333333,513
"69",2018,13.6214597702026,8.24585342407227,-1.96429333333333,701
"70",2019,13.8833171844482,8.485471367836,-2.2790696,639
"71",2020,13.2662391662598,7.91122043132782,-1.842908675,313
"72",2021,12.9881795883179,7.86648714542389,-0.91261915,798
"73",2022,13.1015781402588,7.29335176944732,-1.26214034166667,299
"74",2023,13.5532794952392,7.43198931217194,-1.680855525,863
"75",2024,13.1539457321167,8.98681378364563,-1.9361828,267
