year,2,3,4,5,6,total,category,data_source,collection_location,data_source_notes,collection_location_notes,to include in SR model for Atnarko Lakes sockeye,additional_comments
2016,0,1,12,10,0,23,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2018,0,0,22,10,0,32,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2019,0,0,36,13,1,50,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2020,0,0,5,3,0,8,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2021,0,1,3,2,0,6,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2022,0,3,8,2,0,13,in-river FSC,age batch,BCR,age batch details - Aug 2026,,,
2023,0,0,6,1,0,7,in-river FSC,age batch,BCR,age batch details - Aug 2026,,,
2024,0,0,8,1,0,9,in-river FSC,age batch,BCR,age batch details - Aug 2026,,,
2025,0,2,20,12,0,34,in-river FSC,age batch,BCR,age batch details - Aug 2026,,,
1971,0,0,35,5,0,40,Commercial,KM MSc -paper scale cards from PADs,Fitz Hugh Sound (8-16),area8_mixedstock_sockeye_agedata_1971_to_1987.xlsx,8/9 Boundary; SN,,12-Jul
1972,1,59,124,131,13,328,Commercial,KM MSc -paper scale cards from PADs,Fitz Hugh sound (8-4) Namu/Koeye,1972-0001 and 0002; area8_mixedstock_sockeye_agedata_1971_to_1987.xlsx,,,June 21- July 15
1973,0,0,12,13,0,25,Commercial,KM MSc -paper scale cards from PADs,Fitz Hugh Sound (8-16),area8_mixedstock_sockeye_agedata_1971_to_1987.xlsx,Addenbrooke light,,
1974,0,1,23,8,0,32,Commercial,original ATN spreadsheet,North Bentinck,Central Coast Age Database summary from Oct 31/89 ,,,17-Jul
1974,0,27,210,96,4,337,Commercial,original ATN spreadsheet,Dean/N. Bentinck/Atnarko,Central Coast Age Database summary from Oct 31/89 ,,,some ages found in KM MSC- but far fewer. Default to original accounting by MM and SCR
1975,0,0,685,63,0,748,Commercial,original ATN spreadsheet,Dean/N. Bentinck Arm,Central Coast Age Database summary from Oct 31/89 ,,,no ages from KM MSC for this year
1976,0,6,306,138,1,451,Commercial,original ATN spreadsheet,Fitzhugh/Dean/N. Bentinck,Central Coast Age Database summary from Oct 31/89 ,,,some ages found in KM MSC- but far fewer. Default to original accounting by MM and SCR
1977,0,0,110,66,0,176,Commercial,original ATN spreadsheet,None provided,Central Coast Age Database summary from Oct 31/89 ,,,"Commercial samples in KM MSC found for Fisher channel, however did not include as perhaps these could have been the Labouchere samples or the unknown location samples"
1977,0,0,55,7,0,62,Commercial,original ATN spreadsheet,Labouchere,Central Coast Age Database summary from Oct 31/89 ,,,July 4 and 5
1977,,1,41,10,1,53,Commercial,original ATN spreadsheet,Fitz Hugh Sound,Central Coast Age Database summary from Oct 31/89 ,,,4-Jul
1978,0,8,106,41,0,155,Commercial,original ATN spreadsheet,Bella Coola,Central Coast Age Database summary from Oct 31/89 ,,,8-Jun
1978,0,0,1,0,0,1,Commercial,original ATN spreadsheet,Labouchere,Central Coast Age Database summary from Oct 31/89 ,,,13-Jun
1979,0,0,13,9,0,22,Commercial,original ATN spreadsheet,BCGNA,Central Coast Age Database summary from Oct 31/89 ,,,18-Jun
1979,0,3,71,17,0,91,Commercial,original ATN spreadsheet,BCGNA,Central Coast Age Database summary from Oct 31/89 ,"North Bentinck Arm July 2, and Bella Coola Docks July 3 and July 10, assumed Same fishery site",,"July 2, July 3, and July 10"
1980,0,1,71,17,0,89,Commercial,KM MSc -paper scale cards from PADs,Namu (8-4),1980-0002; area8_mixedstock_sockeye_agedata_1971_to_1987.xlsx,Troll,,Aug 6- 16
1980,0,1,105,132,2,329,Commercial,KM MSc -paper scale cards from PADs,Namu (8-4),1980-0001; area8_mixedstock_sockeye_agedata_1971_to_1987.xlsx,SN/GN,,10-Jul
1981,0,1,37,30,1,69,Commercial,KM MSc -paper scale cards from PADs,Koeye boundary (8-3),1981=0001; area8_mixedstock_sockeye_agedata_1971_to_1987.xlsx, Boundary: SN/GN,,14-Jul
1981,0,1,21,19,0,41,Commercial,original ATN spreadsheet,Fitz Hugh Sound,Central Coast Age Database summary from Oct 31/89  // 1989 Age Data- Green 2 drawer filing cabinet Campbell River Office,SN/GN,,"July 21 and 31, and Aug 6"
1982,0,0,70,22,0,92,Commercial,original ATN spreadsheet,BCGNA,Central Coast Age Database summary from Oct 31/89 ,GN,,July 5 and July 12
1983,0,0,11,8,0,19,Commercial,original ATN spreadsheet,BCGNA,Central Coast Age Database summary from Oct 31/89,GN,,
1984,0,0,59,29,0,88,Commercial,original ATN spreadsheet,Burke Channel,Central Coast Age Database summary from Oct 31/89 (Note these figures do not agree with RMS),,,
1985,0,0,34,45,0,79,Commercial,original ATN spreadsheet,Dean/Burke,Central Coast Age Database summary from Oct 31/89,SN/GN; Includes Area 8 Seine 1-4's and 1-5's and  includes 1-5's from Dean/Burke.,,
1985,0,0,14,21,0,35,Commercial,original ATN spreadsheet,Labouchere,Central Coast Age Database summary from Oct 31/89,GN,,
1986,0,0,14,10,0,24,Commercial,original ATN spreadsheet,Labouchere,Central Coast Age Database summary from Oct 31/89 - Note all numbers check with RMS,Labouchere Channel July 6-12 (Wk 15) 14-4's and 9-5's + 1-5's Area 8 GN.,,July 6-12
1987,0,0,4,7,1,12,Commercial,original ATN spreadsheet,Fitz Hugh Sound (8-3),Original Memo's Dave Flegel (Fishery Officer) to Y. Yole (Fish Morphology Technician),SN/GN,,
1988,0,2,4,5,0,11,Commercial,original ATN spreadsheet,Labouchere,Central Coast Age Database summary from Oct 31/89 - Note numbers don't all check with RMS,,,
1989,0,3,27,8,0,38,Commercial,original ATN spreadsheet,Area 8,Central Coast Age Database summary from Oct 31/89 ,GN,,
1989,0,7,59,17,0,83,Commercial,original ATN spreadsheet,Area 8 ,Central Coast Age Database summary from Oct 31/89 ,SN,,
1990,0,30,134,22,0,186,Commercial,original ATN spreadsheet,Area 8,Central Coast Age Database summary from Nov 2/90,,,
1991,0,1,139,18,9,167,Commercial,original ATN spreadsheet,unknown,PADS- unsure origin of commercial samples,,,
1993,0,0,2,0,0,2,Commercial,original ATN spreadsheet,unknown,PADS- unsure origin of commercial samples,,,
1996,0,0,5,0,1,6,Commercial,original ATN spreadsheet,Namu (8-4),Box #3,SN,,9-Aug
1998,0,1,9,9,1,20,Commercial,original ATN spreadsheet,unknown,PADS- unsure origin of commercial samples,,,
2000,0,0,29,9,3,41,Commercial,original ATN spreadsheet,Area 8,PADS- unsure origin of commercial samples,GN,,24-Jul
