area,year,catch,escapement,total_run
8,1960,139890,93187,233077
8,1961,171459,92965,264424
8,1962,346843,150725,497568
8,1963,318880,236650,555530
8,1964,347420,209225,556645
8,1965,48903,13600,62503
8,1966,199667,135325,334992
8,1967,90056,90500,180556
8,1968,281551,284250,565801
8,1969,97924,84600,182524
8,1970,355322,275400,630722
8,1971,60495,82875,143370
8,1972,233331,221375,454706
8,1973,251163,277775,528938
8,1974,197682,146800,344482
8,1975,134519,83575,218094
8,1976,333654,125000,458654
8,1977,79524,122950,202474
8,1978,125418,49135,174553
8,1979,209301,99485,308786
8,1980,333663,123475,457138
8,1981,302602,107090,409692
8,1982,181316,129380,310696
8,1983,330157,155045,485202
8,1984,69557,132260,201817
8,1985,525808,220865,746673
8,1986,1505430,266222,1771652
8,1987,520155,138170,658325
8,1988,845485,201537,1047022
8,1989,236943,121789,358732
8,1990,686023,285515,971538
8,1991,234988,84607,319595
8,1992,155864,112447,268311
8,1993,186617,133188,319805
8,1994,493609,244997,738606
8,1995,708638,204550,913188
8,1996,275764,219339,495103
8,1997,234803,196375,431178
8,1998,641715,331335,973050
8,1999,179812,188800,368612
8,2000,47254,181875,229129
8,2001,312774,175200,487974
8,2002,392225,232220,624445
8,2003,670992,380100,1051092
8,2004,824028,312850,1136878
8,2005,272992,142300,415292
8,2006,362232,176610,538842
8,2007,250765,146700,397465
8,2008,9766,45250,55016
8,2009,42375,65660,108035
8,2010,3981,31960,35941
8,2011,33463,203240,236703
8,2012,161669,120200,281869
8,2013,361679,192020,553699
8,2014,27734,51751,79485
8,2015,479914,145800,625714
8,2016,413148,210600,623748
8,2017,330124,211437,541561
8,2018,476021,118594,594615
8,2019,94927,22550,117477
8,2020,13155,15213,28368
8,2021,0,138983,138983
8,2022,0,203729,203729
8,2023,0,106630,106630
8,2024,0,242193,242193
8,2025,0,150636,150636
