area,year,catch,escapement,total_run
8,1960,1480795,1571265,3052060
8,1961,1733893,1249004,2982897
8,1962,12144042,3910088,16054130
8,1963,2018970,748425,2767395
8,1964,2830894,763125,3594019
8,1965,579198,222100,801298
8,1966,2120002,939850,3059852
8,1967,20017,66310,86327
8,1968,5333886,2095000,7428886
8,1969,18059,59925,77984
8,1970,2012361,731100,2743461
8,1971,35813,257150,292963
8,1972,1084772,1356100,2440872
8,1973,56780,166875,223655
8,1974,2765920,1469400,4235320
8,1975,90486,150100,240586
8,1976,1918846,1382200,3301046
8,1977,94109,434690,528799
8,1978,1685105,2293475,3978580
8,1979,682007,1123325,1805332
8,1980,860375,1127725,1988100
8,1981,1608602,737360,2345962
8,1982,39178,195590,234768
8,1983,785966,1420270,2206236
8,1984,171065,967210,1138275
8,1985,1215393,2793620,4009013
8,1986,3420738,3271535,6692273
8,1987,397181,383056,780237
8,1988,8707244,5204570,13911814
8,1989,158392,522529,680921
8,1990,3635064,2759835,6394899
8,1991,114161,2399345,2513506
8,1992,2708363,4614400,7322763
8,1993,257859,1184713,1442572
8,1994,561940,367790,929730
8,1995,236520,629099,865619
8,1996,396416,1844345,2240761
8,1997,426912,1454210,1881122
8,1998,520841,626245,1147086
8,1999,128066,937230,1065296
8,2000,67317,1613060,1680377
8,2001,725432,2321550,3046982
8,2002,1229750,2002805,3232555
8,2003,714549,1069300,1783849
8,2004,319385,744600,1063985
8,2005,607174,998550,1605724
8,2006,56379,239795,296174
8,2007,218218,749330,967548
8,2008,6017,317875,323892
8,2009,126860,1232870,1359730
8,2010,1362,203735,205097
8,2011,3234,429500,432734
8,2012,18441,68470,86911
8,2013,489702,997020,1486722
8,2014,41497,80170,121667
8,2015,707604,616590,1324194
8,2016,110099,510000,620099
8,2017,747117,1567056,2314173
8,2018,49114,66503,115617
8,2019,9207,102914,112121
8,2020,21486,660657,682143
8,2021,0,60814,60814
8,2022,0,190409,190409
8,2023,0,70845,70845
8,2024,0,569351,569351
8,2025,0,189347,189347
